listing_id,name,city,neighborhood,room_type,accommodates,property_type,price,review_scores_rating
680519123710389248,Sunny corner w/ open floor plan,Portland,Piedmont,Entire home/apt,4,Entire rental unit,93.0,5.0
1268201952297658624,Luxury downtown condo in the pearl,Portland,Pearl,Entire home/apt,4,Entire rental unit,110.0,5.0
40122072,Charming home in safe beautiful area - fenced yard,Portland,Northwest Heights,Entire home/apt,9,Entire home,300.0,5.0
23609556,Bright House-share with Private Bath Near Airport,Portland,Roseway,Private room,4,Private room in home,90.0,5.0
984287915670628608,Play&Work in Southwest Portland,Portland,South Portland,Entire home/apt,4,Entire home,999.0,5.0
4648534,The perfect spot!,Portland,Sellwood-Moreland Improvement League,Entire home/apt,2,Entire guesthouse,80.0,5.0
625918158290441728,"Huge, Bright & Modern 5 Bdrm w/Fenced Yard",Portland,Mt. Tabor,Entire home/apt,9,Entire home,209.0,5.0
1232866371654620416,Walkable in hipster SE Portland,Portland,Richmond,Entire home/apt,5,Entire rental unit,122.0,5.0
21425869,"“Pearl Pad” Grt. location, view & free EV Chging!",Portland,Pearl,Entire home/apt,3,Entire condo,150.0,5.0
1248731865719201536,Desert Vibe 1BR in SE PDX - Local Bars & Food,Portland,Buckman,Entire home/apt,2,Entire home,81.0,5.0
987058114053477120,PDX Urban Garden Apartment,Portland,Reed,Entire home/apt,2,Entire rental unit,90.0,5.0
881189619149329664,Maplewood Retreat,Portland,Maplewood,Entire home/apt,4,Entire home,158.0,5.0
1091413309953163776,Best Neighborhood in Town! #9,Portland,Northwest District,Entire home/apt,2,Entire rental unit,55.0,5.0
1074271375122820992,Natural setting Relax & Recharge,Portland,Multnomah,Private room,1,Private room in home,48.0,5.0
1238819120342037504,Skyline Sanctuary,Portland,Northwest Heights,Entire home/apt,5,Entire rental unit,135.0,5.0
626068463862576640,"Charm, Space and Comfort near Multnomah Village",Portland,Multnomah,Entire home/apt,4,Entire guest suite,90.0,5.0
46715181,Alberta Arts Bungalow for Longer Stays (31+ days),Portland,Sabin,Entire home/apt,4,Entire bungalow,90.0,5.0
697115,Classic Bedroom/Private Vanity,Portland,Hillsdale,Private room,1,Private room in home,56.0,5.0
23546465,Private ensuite queen bedroom/bath in St Johns.,Portland,St. Johns,Private room,1,Private room in home,60.0,5.0
563223799929727680,Cozy Vintage Pub Theme 1 bd w/ private entrance,Portland,Lents,Entire home/apt,2,Entire place,57.0,5.0
1271164597124512768,Cully Neighborhood Backyard Birdhouse,Portland,Cully,Entire home/apt,2,Entire guesthouse,64.0,5.0
27555604,Cascadia: Our reviews say it all!,Portland,Piedmont,Entire home/apt,4,Entire home,81.0,5.0
18379258,Historic Jacobberger House  Downtown Portland,Portland,Southwest Hills,Entire home/apt,4,Entire home,483.0,5.0
9200540,NEW:3 level twnhse 3 Bdr-3.5  bth by OHSU/River,Portland,South Portland,Entire home/apt,3,Entire townhouse,128.0,5.0
908743277651383168,Modern ADU near Penninsula Park,Portland,Woodlawn,Entire home/apt,4,Entire rental unit,59.0,5.0
892315206523159424,large room in downtown Portland,Portland,Portland Downtown,Private room,2,Private room in rental unit,65.0,5.0
824712137951653376,Charming 3bed Home w/ Yard - Walk Score 91!,Portland,King,Entire home/apt,8,Entire home,99.0,5.0
49196317,The Highland Rose Retreat Awaits You and Yours,Portland,Sylvan-Highlands,Entire home/apt,4,Entire guest suite,123.0,5.0
1196041329273472000,Roof Deck & Food Pods -Hawthorne Penthouse Retreat,Portland,Buckman,Entire home/apt,4,Entire rental unit,157.0,5.0
1641774,Walk to OHSU/15-min drive to Intel. Pristine Room!,Portland,Hillsdale,Private room,2,Private room in home,60.0,5.0
1293106783608757504,Charming & Cozy Retreat in Portland,Portland,Hayhurst,Private room,2,Private room in home,54.0,5.0
1294599934484989696,Brand New Westmoreland Contemporary,Portland,Sellwood-Moreland Improvement League,Entire home/apt,4,Entire home,188.0,5.0
52551684,Elegant Historic Irvington Home,Portland,Irvington,Entire home/apt,5,Entire home,182.0,5.0
1268128745638786560,Location+ Patio + Charm,Portland,Rose City Park,Entire home/apt,2,Entire rental unit,67.0,5.0
1029398723212833536,Furnished 1 BR unit near OHSU Dog Friendly (04D),Portland,Homestead,Entire home/apt,2,Entire rental unit,110.0,5.0
1047542319928861824,Bright Spacious Elliot Cottage,Portland,Eliot,Entire home/apt,2,Entire home,100.0,5.0
