listing_id,name,chunk_start,chunk_end,nights,min_nights_required
48000304,1950''s Charm-Great for long-term/contract/RN/profs,2025-07-01,2025-07-17,17,5
48000304,1950''s Charm-Great for long-term/contract/RN/profs,2025-07-23,2025-07-31,9,5
745182968152467328,Unit C at the Manor House (month to month),2025-07-01,2025-07-31,31,29
50447645,"Jefferson Garden Cottage, Hosted by Salemstays.com",2025-07-01,2025-07-17,17,2
50447645,"Jefferson Garden Cottage, Hosted by Salemstays.com",2025-07-21,2025-07-31,11,2
1114727240376405248,"By Willamette University, 2beds, 2bathroom House.",2025-07-01,2025-07-16,16,2
1114727240376405248,"By Willamette University, 2beds, 2bathroom House.",2025-07-20,2025-07-31,12,2
1194322012820728576,English Cottage in Salem Oregon,2025-07-01,2025-07-09,9,1
1194322012820728576,English Cottage in Salem Oregon,2025-07-27,2025-07-30,4,1
42243993,LARGE Upstairs 2 Bed 2 Bath condo Creek View!,2025-07-01,2025-07-09,9,1
52354445,Upstairs 2 Bed 1 Bath Condo with Creek View!,2025-07-01,2025-07-09,9,1
892940160111786624,Two private apartments,2025-07-01,2025-07-16,16,1
892940160111786624,Two private apartments,2025-07-22,2025-07-31,10,1
810766448445502592,Spacious Salem Home,2025-07-01,2025-07-31,31,20
36353518,A Cozy Place to Land,2025-07-01,2025-07-15,15,1
36353518,A Cozy Place to Land,2025-07-27,2025-07-31,5,1
1158949269665318400,2022 wolf pup 16 BHS,2025-07-01,2025-07-31,31,2
1029871141902375808,Mill Creek Condo,2025-07-01,2025-07-31,31,28
1002221183785729024,Cozy Guest House in Salem,2025-07-01,2025-07-17,17,1
1002221183785729024,Cozy Guest House in Salem,2025-07-21,2025-07-31,11,1
1197995442020233728,South Salem getaway,2025-07-01,2025-07-14,14,2
1197995442020233728,South Salem getaway,2025-07-28,2025-07-31,4,2
1060939375192590592,Private Guesthouse,2025-07-01,2025-07-31,31,2
647232541551978240,"Monthly Downtown Salem Loft unit 227, two bedroom",2025-07-01,2025-07-31,31,14
1287160918973485568,Charming Daylight Basement!,2025-07-01,2025-07-31,31,30
657469130359434112,Chic 3/2 Private Firepit and Bunkroom with EV2,2025-07-01,2025-07-17,17,2
657469130359434112,Chic 3/2 Private Firepit and Bunkroom with EV2,2025-07-20,2025-07-31,12,2
969720740624261120,EGG-cellent South Salem Home Near Vineyards,2025-07-01,2025-07-13,13,1
969720740624261120,EGG-cellent South Salem Home Near Vineyards,2025-07-15,2025-07-17,3,1
969720740624261120,EGG-cellent South Salem Home Near Vineyards,2025-07-21,2025-07-31,11,1
37157862,Large 2 Bedroom 1 Bath Condo with a Creek View,2025-07-01,2025-07-17,17,1
37157862,Large 2 Bedroom 1 Bath Condo with a Creek View,2025-07-22,2025-07-31,10,1
51004299,1390 Birchwood Glen Townhome,2025-07-01,2025-07-17,17,2
51004299,1390 Birchwood Glen Townhome,2025-07-21,2025-07-31,11,2
597102190121690112,Newly Renovated! - Classy Downstairs Flat,2025-07-01,2025-07-16,16,1
597102190121690112,Newly Renovated! - Classy Downstairs Flat,2025-07-21,2025-07-31,11,1
1068235740854448384,Downtown Gray Getaway,2025-07-01,2025-07-31,31,28
907245853340904576,Cozy Apt Studio,2025-07-01,2025-07-31,31,28
1158986683856702720,2024 Coleman Lantern,2025-07-01,2025-07-31,31,1
928390682494921216,Salem Cozy 1B Apt,2025-07-01,2025-07-31,31,30
1110856490442904064,Charming Farmhouse,2025-07-01,2025-07-17,17,2
1110856490442904064,Charming Farmhouse,2025-07-21,2025-07-31,11,2
1288877656003468032,1 Bedroom Basement Apartment Getaway,2025-07-01,2025-07-31,31,28
1265269197003847424,The Loft!,2025-07-01,2025-07-16,16,2
1265269197003847424,The Loft!,2025-07-22,2025-07-31,10,2
884989724537503360,"Clean, affordable & Easy to Book",2025-07-01,2025-07-17,17,1
884989724537503360,"Clean, affordable & Easy to Book",2025-07-21,2025-07-31,11,1
1123146673463483648,*10% Off* Cozy & Rare Riverfront Home with HotTub,2025-07-01,2025-07-17,17,2
1123146673463483648,*10% Off* Cozy & Rare Riverfront Home with HotTub,2025-07-21,2025-07-31,11,2
924812489868419712,South Salem Lilly''s Pad with HotTub & Pool Table!,2025-07-01,2025-07-03,3,2
924812489868419712,South Salem Lilly''s Pad with HotTub & Pool Table!,2025-07-07,2025-07-09,3,2
924812489868419712,South Salem Lilly''s Pad with HotTub & Pool Table!,2025-07-13,2025-07-17,5,2
924812489868419712,South Salem Lilly''s Pad with HotTub & Pool Table!,2025-07-22,2025-07-31,10,2
1234131415739802368,Home/Office - 2 bed 1 bath-Dedicated Workspace,2025-07-01,2025-07-31,31,27
694880773128927104,Mad Men- mid-century style w/ record player,2025-07-01,2025-07-31,31,1
1167115843549776384,Audrey- an ode to an icon,2025-07-01,2025-07-17,17,1
