reviewer_id,reviewer_name,listing_id,listing_name,review_month,recommendation_type
425576747,Rebecca,21439433,"Portland Classic - Parks, Eateries + Local Shops",10,Same listing is available again
425576747,Rebecca,1351601353530137088,La Casa Blanca - Sleeps 14 - 95 Walkscore,10,Similar listing by same host
425576747,Rebecca,45869511,"The Bohemian Spirit - Live Music, Eateries + Bars",10,Similar listing by same host
425576747,Rebecca,25052019,Modern Hawthorne Studio - Food Carts & Local Shops,10,Similar listing by same host
425576747,Rebecca,46374482,Historic Mississippi - Live Music & Local Shops,10,Similar listing by same host
425576747,Rebecca,20786008,"Sunnyside Wonderland - Coffee Shops, Bars & Parks",10,Similar listing by same host
425576747,Rebecca,45605210,Hipster Vibe Apartment - Food Carts & Live Music,10,Similar listing by same host
425576747,Rebecca,1249331361656505600,Luxury 2BR Mississisppi Home~ 95 WalkScore,10,Similar listing by same host
425576747,Rebecca,852460521953545344,La Casa Blanca en Mississisppi ~ 95 WalkScore,10,Similar listing by same host
425576747,Rebecca,49367412,The Art Deco Lounge ~ 95 WalkScore ~ Live Music,10,Similar listing by same host
76256027,Sieglinde,42362446,Marquam Hill Private Guest Room.,06,Same listing is available again
76256027,Sieglinde,47833375,Homestead Guest Suite,06,Similar listing by same host
378464004,Ernie,49401898,"Excellent Location, Close to Parks, Single Level",03,Same listing is available again
378464004,Ernie,1179315849893823744,"Fantastic 1920''s English Cottage w/ Patio, Seconds",03,Similar listing by same host
378464004,Ernie,1003773179923030656,"Impeccable Single Level Home, Pet Friendly, Fully",03,Similar listing by same host
378464004,Ernie,1350965129912658176,"Charming Updated Inner Southeast Portland Home,",03,Similar listing by same host
378464004,Ernie,43124643,"Cottage, Walk to MAX, Drinks, Dining, Full Kitchen",03,Similar listing by same host
378464004,Ernie,755546773009805696,Superbly Located Urban Retreat: Silver Falls,03,Similar listing by same host
378464004,Ernie,930641485021623808,"Immaculate and Private Space, Walk to Everything",03,Similar listing by same host
378464004,Ernie,45040754,"Pet Friendly, BBQ, Zoo, 5 Mins to Pearl District",03,Similar listing by same host
378464004,Ernie,616602031996803328,"Wonderful New Construction, Walk to Everything",03,Similar listing by same host
378464004,Ernie,48985082,"Walkable to Alberta Arts District, Single Level",03,Similar listing by same host
378464004,Ernie,1232043523557527808,SW Portland 4BR/3BA | 2 King Suites | Perfect for,03,Similar listing by same host
378464004,Ernie,726114668174057344,"Pristine Renovation w/ Epic Location, Hot Tub",03,Similar listing by same host
378464004,Ernie,51971055,"New Construction, Open Patio, Deck, BBQ, FireTable",03,Similar listing by same host
378464004,Ernie,1138634792355772544,"Perfectly Located Urban Retreat, Close to",03,Similar listing by same host
378464004,Ernie,1029082016777210880,"Exceptional Pet Friendly Home, Game Room w/ Pool",03,Similar listing by same host
378464004,Ernie,27263238,"Walk 2 Restaurants & Park, Private Entrance",03,Similar listing by same host
378464004,Ernie,752496894983364096,Fantastically Located Urban Retreat: Painted Hills,03,Similar listing by same host
378464004,Ernie,1116953962654468736,"Luxury Penthouse Living, Breathtaking Views, Huge",03,Similar listing by same host
25108179,Kristine,3898216,"SE PDX Apt, great location, full kitchen, private!",08,Same listing is available again
134123956,Chrissy,28307776,Margaux - Nostalgic Charmer in the Heart of PDX,09,Similar listing by same host
375626777,Michelle,5604467,The Perch - Relax in style/Walkable Location!,10,Similar listing by same host
375626777,Michelle,46608476,"Walkable Sanctuary near Shops, Dining & Downtown!",10,Similar listing by same host
375626777,Michelle,20167870,Explore Portland on Foot from Your Modern Retreat,10,Similar listing by same host
375626777,Michelle,13247486,Creative & Clean Bungalow in Portland Hot Spot,10,Similar listing by same host
3334201,John,1211828695481374720,#StayinMyDistrict Kenton Private Guest House,10,Similar listing by same host
2279513,Gabriel,7729130,Magic Barn  / Walk Score 93!,11,Same listing is available again
2279513,Gabriel,17762473,The Magic House / Walk Score 93!,11,Similar listing by same host
18800125,Ryan,42601276,RoseCity Getaway - New Modern Private Home,08,Same listing is available again
6000357,Christine,19683221,"Savor the Laid-Back, Bohemian Feel at a Sunny Urban Abode",03,Same listing is available again
165608988,Uldis,638467207947223040,Restaurant Row! Vibrant Lauralhurst Studio,05,Same listing is available again
73878176,Roann,21029021,Private apartment in a Portland Charmer,04,Same listing is available again
177359328,Peter,25683545,Fern Cabin,09,Same listing is available again
17342771,Julie,39535594,Private Two Bedroom Woodlawn Guest Suite,12,Same listing is available again
11214283,Marcia,39535594,Private Two Bedroom Woodlawn Guest Suite,09,Same listing is available again
123803544,James,19138065,* *Stylish Backyard Studio + Private Patio* *,03,Same listing is available again
522257307,Carolyn,595534429111070464,The Lily Pad is a place to come and relax.,08,Same listing is available again
233512367,April,25944358,Laurelhurst Holiday Charmer |  Family Friendly,12,Same listing is available again
57688744,Lisa,1107789,Cozy Portland Studio Apartment,04,Same listing is available again
22956597,Hayvard,53235251,Delightful Apartment In Historic Irvington Home!,03,Same listing is available again
490753001,Laura,619489034971227648,SE City Spa Retreat,04,Same listing is available again
371302730,Sean,35236468,Private Dog-Friendly Studio Near Downtown,06,Same listing is available again
516759465,Jacobo,45241064,"5min to Freeway, 15min to Airport/DT",11,Same listing is available again
516759465,Jacobo,34180606,New Home. 15m-airprt. 15m-DT. 40m-MT. 5m-lightrail,11,Similar listing by same host
27541858,Ken,39195215,Ladd''s Lodge: 2BD Apartment in Prime Location,06,Same listing is available again
2796829,Rob,36104735,#StayInMyDistrict St Johns Walk to dining & shops,07,Same listing is available again
2796829,Rob,36573110,#StayInMyDistrict Multnomah Village Modern Retreat,07,Similar listing by same host
2796829,Rob,25546113,#StayinMyDistrict Sellwood Private Garden Casita,07,Similar listing by same host
2796829,Rob,40451310,#StayInMyDistrict Raleigh Hills Serene Havens Nest,07,Similar listing by same host
2796829,Rob,45269553,#StayInMyDistrict Buckman Spacious Modern Rowhouse,07,Similar listing by same host
2796829,Rob,1182702205461855744,#StayinMyDistrict Alberta Arts Daylight Studio,07,Similar listing by same host
2796829,Rob,1211828695481374720,#StayinMyDistrict Kenton Private Guest House,07,Similar listing by same host
2796829,Rob,54354341,#StayInMyDistrict Piedmont Near Parks and Shopping,07,Similar listing by same host
